Name,Position,Swim,SwimBike,Bike,BikeRun,Run,Final,Gender,Division
Rodolphe Von Berg,1,00:48:58,00:02:28,4:05:27,00:02:22,2:45:36,7:44:51,M,PRO
Robert Wilkowiecki,2,00:48:55,00:02:13,4:05:50,00:02:40,2:45:26,7:45:04,M,PRO
Matthew Marquardt,3,00:49:00,00:02:10,4:08:13,00:02:40,2:43:09,7:45:12,M,PRO
Arnaud Guilloux,4,00:52:21,00:02:19,4:09:14,00:03:28,2:46:59,7:54:21,M,PRO
Beals Cody,5,00:52:27,00:02:10,4:15:11,00:02:32,2:44:58,7:57:18,M,PRO
Ivan Tutukin,6,00:52:33,00:02:07,4:15:15,00:02:26,2:49:19,8:01:40,M,PRO
David Plese,7,00:52:47,00:02:53,4:14:16,00:02:45,2:51:18,8:03:58,M,PRO
Thomas Davis,8,00:52:31,00:02:12,4:15:23,00:02:48,2:52:39,8:05:33,M,PRO
Adam Feigh,9,00:52:58,00:02:36,4:14:15,00:02:31,2:53:45,8:06:04,M,PRO
Michael Weiss,10,00:58:43,00:02:59,4:13:34,00:02:57,2:48:00,8:06:12,M,PRO
Andrew Horsfall-Turner,11,00:48:50,00:02:10,4:10:41,00:03:17,3:07:56,8:12:54,M,PRO
Fernando Toldi,12,00:53:10,00:02:25,4:19:45,00:02:28,2:58:35,8:16:24,M,PRO
Karl-Johan Danielsson,13,00:52:58,00:02:30,4:14:05,00:02:49,3:08:14,8:20:36,M,PRO
Sven Wies,14,00:52:23,00:02:09,4:15:25,00:02:34,3:08:44,8:21:14,M,PRO
Elliot Bach,15,00:52:48,00:02:15,4:14:52,00:03:37,3:09:00,8:22:34,M,PRO
Trevor Foley,16,1:00:50,00:02:08,4:12:22,00:02:38,3:09:58,8:27:55,M,PRO
Bruno Manzoni,17,00:59:44,00:03:52,4:29:40,00:03:13,2:52:03,8:28:31,M,35-39
John Dzierzbicki,18,00:53:30,00:03:16,4:31:41,00:04:04,2:59:44,8:32:15,M,30-34
Kat Matthews,19,00:58:34,00:02:33,4:39:21,00:02:52,2:49:32,8:32:52,F,PRO
Maja Stage Nielsen,20,00:55:26,00:02:46,4:33:45,00:02:49,3:00:05,8:34:51,F,PRO
Jocelyn Mccauley,21,00:55:19,00:02:26,4:33:23,00:02:57,3:11:41,8:45:45,F,PRO
Timothy Rigby,22,00:52:20,00:03:39,4:43:45,00:04:03,3:02:06,8:45:52,M,30-34
Guillaume Doree,23,00:52:25,00:02:40,4:32:21,00:03:12,3:16:39,8:47:17,M,PRO
Daniel Erdelyi,24,00:57:15,00:03:30,4:40:32,00:03:11,3:07:41,8:52:10,M,35-39
Lauren Brandon,25,00:51:14,00:03:15,4:40:50,00:03:26,3:14:22,8:53:07,F,PRO
Fraser Walsh,26,00:52:44,00:02:19,4:24:52,00:03:36,3:29:39,8:53:10,M,PRO
Ross Baldwin,27,1:02:56,00:03:38,4:29:12,00:02:58,3:14:26,8:53:10,M,35-39
Danielle Lewis,28,1:05:50,00:03:02,4:38:19,00:03:14,3:06:04,8:56:28,F,PRO
Parker Kerth,29,1:02:30,00:04:07,4:40:40,00:04:08,3:05:04,8:56:29,M,18-24
Chad Bykerk,30,00:52:16,00:04:26,4:41:18,00:03:28,3:17:24,8:58:52,M,25-29
Fabian Roman,31,00:49:35,00:03:50,4:45:36,00:04:10,3:17:35,9:00:46,M,30-34
Eric Moser,32,00:54:27,00:04:57,4:42:36,00:04:02,3:18:21,9:04:23,M,30-34
Johan Hasselmark,33,1:08:09,00:05:18,4:22:36,00:05:55,3:23:17,9:05:15,M,45-49
